forecast_id,weather_state_name,weather_state_abbr,wind_direction_compass,created,applicable_date,min_temp,max_temp,the_temp,wind_speed,wind_direction,air_pressure,humidity,visibility,predictability,woeid
4726693198561280,Heavy Cloud,hc,ESE,2021-06-03T06:43:54.155982Z,2021-06-10,13.415,23.744999999999997,20.44,3.741139545056867,104.5,1017,53,9.999726596675416,71,2122265,
4727322948141056,Heavy Cloud,hc,WNW,2021-06-05T00:32:10.785694Z,2021-06-12,13.17,22.17,20.79,3.094428537341923,288,1018,43,null,71,44418,
4738582037135360,Clear,c,N,2021-06-05T06:36:13.868603Z,2021-06-12,14.315,27.61,27.03,3.074147578143642,350.5,1019,40,9.999726596675416,68,638242,
4745391036694528,Showers,s,ESE,2021-06-02T15:43:52.365110Z,2021-06-09,14.69,24.725,20.43,3.514107412709775,108,1018,44,9.839412829078183,73,2122265,
4745716816674816,Light Rain,lr,NNW,2021-06-05T21:36:04.545385Z,2021-06-09,14.69,22.795,22.29,4.4663694357061425,328.54668081302225,1019.5,58,12.43643372703412,75,638242,
4746755896770560,Heavy Cloud,hc,NW,2021-06-06T09:36:13.575135Z,2021-06-13,10.9,21.02,19.42,6.178928258967629,307,1018,47,9.999726596675416,71,638242,
4749882901397504,Showers,s,SSW,2021-06-05T00:43:49.789318Z,2021-06-11,14.41,24.635,21.03,4.218137675972322,191.49999999999977,1009,46,9.999726596675416,73,2122265,
4750842189053952,Showers,s,W,2021-06-06T21:32:02.679815Z,2021-06-10,15.095,23.725,23.215,5.014100174307378,260.4854335104661,1021,64,13.327169331106338,73,44418,
4757295075426304,Heavy Rain,hr,NE,2021-06-05T12:43:49.355724Z,2021-06-11,12.685,20.225,13.37,4.270948063310268,51.5,1015,63,9.659215183329357,77,2122265,
4757321516318720,Clear,c,NNE,2021-06-04T06:43:55.677971Z,2021-06-12,15.66,27.29,25.69,1.5534279805933349,26.999999999999996,1019,32,null,68,2122265,
4765430414573568,Light Rain,lr,NE,2021-06-05T15:43:40.052946Z,2021-06-08,14.255,22.76,20.4,4.684745870765396,49.99081884038881,1013,70,14.952054998806966,75,2122265,
4772782895267840,Heavy Rain,hr,NNW,2021-06-01T12:32:14.262802Z,2021-06-09,14.35,22.12,20.72,2.8831623319812296,338,1020,48,null,77,44418,
4784924734259200,Heavy Cloud,hc,NNE,2021-05-31T06:43:56.176959Z,2021-06-08,15.74,20.57,18.45,2.174799172830669,25,1021,56,null,71,2122265,
4787881315926016,Heavy Cloud,hc,NNE,2021-06-01T12:43:52.758962Z,2021-06-08,12.035,25.025,21.35,2.939774516821761,26.999999999999982,1022,33,9.999726596675416,71,2122265,
4789556353171456,Heavy Cloud,hc,NNW,2021-06-06T00:36:04.260400Z,2021-06-10,13.37,22.119999999999997,20.89,4.22070158826321,346.1695539830423,1019.5,60,13.224953769983298,71,638242,
4790598688047104,Heavy Rain,hr,NW,2021-06-01T00:36:16.861810Z,2021-06-09,16.59,24.71,24.71,3.33054959039211,309,1014,51,null,77,638242,
4791549217996800,Heavy Cloud,hc,E,2021-06-05T09:43:46.696738Z,2021-06-10,12.415,24.315,21.7,4.674688021951802,86.5,1014,35,9.999726596675416,71,2122265,
4791852382289920,Heavy Cloud,hc,N,2021-06-06T18:36:00.763029Z,2021-06-09,14.7,25.65,23.99,3.5513645619846756,352.70987429893495,1020,45,13.99358993478088,71,638242,
4792874383179776,Heavy Cloud,hc,N,2021-06-07T09:35:56.257810Z,2021-06-08,14.49,26.745,25.43,4.095399071319494,9.94923366735094,1020.5,46,13.178661616161616,71,638242,
4793923529605120,Light Cloud,lc,E,2021-06-04T15:43:52.562141Z,2021-06-11,15.035,25.98,23.66,3.6283229937166945,98.5,1016,36,9.999726596675416,70,2122265,
4797966570225664,Heavy Rain,hr,NE,2021-06-03T18:43:46.671522Z,2021-06-08,13.88,24.56,20.87,5.048573132903842,45.99999999999999,1016,49,9.97052215064026,77,2122265,
4798433916354560,Heavy Cloud,hc,NNW,2021-06-04T06:36:08.656594Z,2021-06-09,12.755,24.165,22.9,4.205941899308041,331,1020,41,9.999726596675416,71,638242,
